32.83,-97.3,200.0,11930,-59.9,-68.9,30,0.02,255,103,337.8,337.8,337.8
32.83,-97.3,195.0,12087,-60.6,-70.3,27,0.02,255,106,339.0,339.1,339.0
32.83,-97.3,191.7,12192,-61.1,-71.2,25,0.01,255,106,339.9,339.9,339.9
32.83,-97.3,178.0,12650,-63.3,-75.3,18,0.01,260,101,343.6,343.7,343.6
32.83,-97.3,171.0,12896,-63.5,-76.5,16,0.01,262,97,347.2,347.3,347.2
32.83,-97.3,167.0,13042,-61.9,-75.9,14,0.01,264,94,352.3,352.3,352.3
32.83,-97.3,162.0,13229,-63.3,-77.3,13,0.01,266,91,353.0,353.0,353.0
32.83,-97.3,159.0,13344,-62.7,-76.7,14,0.01,267,88,355.9,355.9,355.9
32.83,-97.3,154.0,13539,-64.5,-79.5,11,0.00,268,85,356.1,356.1,356.1
32.83,-97.3,151.0,13659,-63.7,-78.7,11,0.01,270,83,359.5,359.5,359.5
32.83,-97.3,150.0,13700,-63.7,-78.7,11,0.01,270,82,360.1,360.2,360.1
32.83,-97.3,147.0,13824,-63.9,-78.9,11,0.01,270,80,361.9,361.9,361.9
32.83,-97.3,142.3,14021,-64.7,-80.2,10,0.00,270,78,363.8,363.8,363.8
32.83,-97.3,137.0,14254,-65.7,-81.7,9,0.00,271,77,366.1,366.1,366.1
32.83,-97.3,133.0,14435,-64.5,-81.5,8,0.00,272,77,371.3,371.3,371.3
32.83,-97.3,124.0,14862,-66.5,-83.5,8,0.00,273,76,375.2,375.2,375.2
32.83,-97.3,121.0,15011,-65.7,-82.7,8,0.00,274,76,379.3,379.3,379.3
32.83,-97.3,119.0,15112,-66.3,-83.3,8,0.00,274,75,380.0,380.0,380.0
32.83,-97.3,117.0,15215,-65.5,-83.5,7,0.00,275,75,383.3,383.3,383.3
32.83,-97.3,116.5,15240,-65.7,-83.7,7,0.00,275,75,383.5,383.5,383.5
32.83,-97.3,114.0,15373,-66.5,-84.5,6,0.00,275,75,384.3,384.3,384.3
32.83,-97.3,111.0,15535,-65.9,-83.9,7,0.00,275,76,388.4,388.4,388.4
32.83,-97.3,109.0,15645,-66.3,-84.3,6,0.00,275,76,389.6,389.7,389.6
32.83,-97.3,106.0,15815,-65.1,-84.1,6,0.00,275,76,395.1,395.1,395.1
32.83,-97.3,103.0,15990,-64.9,-83.9,6,0.00,275,77,398.7,398.7,398.7
32.83,-97.3,100.0,16170,-65.9,-84.9,5,0.00,275,77,400.1,400.2,400.1
32.83,-97.3,85.3,17138,-64.3,-85.3,4,0.00,275,69,422.0,422.0,422.0
32.83,-97.3,75.3,17893,-68.1,-89.1,4,0.00,275,62,429.3,429.3,429.3
32.83,-97.3,70.5,18288,-68.6,-89.6,3,0.00,275,59,436.3,436.3,436.3
32.83,-97.3,70.0,18330,-68.7,-89.7,3,0.00,280,58,437.1,437.1,437.1
32.83,-97.3,67.2,18574,-69.1,-90.1,3,0.00,285,57,441.3,441.4,441.3
32.83,-97.3,67.0,18593,-68.9,-90.0,3,0.00,285,57,442.1,442.1,442.1
32.83,-97.3,63.7,18898,-66.2,-88.5,3,0.00,270,41,454.5,454.6,454.5
32.83,-97.3,61.7,19089,-64.5,-87.5,3,0.00,274,42,462.4,462.5,462.4
